target,band,label_id,label_name,n,baseline_correct,aux_correct,both_correct,both_wrong,fixed_by_aux,broken_by_aux,baseline_acc,aux_acc,net_fixed,net_fixed_rate
minipigs,low_treble,7,high_treble,677,277,351,180,229,171,97,0.4091580502215657,0.518463810930576,74,0.10930576070901034
minipigs,mid_treble,0,low_bass,601,269,232,157,257,75,112,0.4475873544093178,0.3860232945091514,-37,-0.06156405990016639
minipigs,mid_treble,1,mid_bass,344,94,133,63,180,70,31,0.27325581395348836,0.3866279069767442,39,0.11337209302325581
minipigs,mid_treble,2,low_mids,378,119,87,54,226,33,65,0.3148148148148148,0.23015873015873015,-32,-0.08465608465608465
minipigs,mid_treble,3,midrange,478,166,133,74,253,59,92,0.3472803347280335,0.27824267782426776,-33,-0.06903765690376569
minipigs,mid_treble,4,high_mids,443,128,166,84,233,82,44,0.28893905191873587,0.3747178329571106,38,0.08577878103837472
minipigs,mid_treble,5,low_treble,291,92,81,52,170,29,40,0.3161512027491409,0.27835051546391754,-11,-0.037800687285223365
minipigs,mid_treble,6,mid_treble,431,98,79,39,293,40,59,0.2273781902552204,0.18329466357308585,-19,-0.04408352668213457
minipigs,mid_treble,7,high_treble,677,277,363,202,239,161,75,0.4091580502215657,0.5361890694239291,86,0.12703101920236337
minipigs,high_treble,0,low_bass,601,269,231,151,252,80,118,0.4475873544093178,0.3843594009983361,-38,-0.0632279534109817
minipigs,high_treble,1,mid_bass,344,94,122,52,180,70,42,0.27325581395348836,0.3546511627906977,28,0.08139534883720931
minipigs,high_treble,2,low_mids,378,119,114,71,216,43,48,0.3148148148148148,0.30158730158730157,-5,-0.013227513227513227
minipigs,high_treble,3,midrange,478,166,158,100,254,58,66,0.3472803347280335,0.3305439330543933,-8,-0.016736401673640166
minipigs,high_treble,4,high_mids,443,128,132,84,267,48,44,0.28893905191873587,0.2979683972911964,4,0.009029345372460496
minipigs,high_treble,5,low_treble,291,92,100,60,159,40,32,0.3161512027491409,0.3436426116838488,8,0.027491408934707903
minipigs,high_treble,6,mid_treble,431,98,108,49,274,59,49,0.2273781902552204,0.2505800464037123,10,0.02320185614849188
minipigs,high_treble,7,high_treble,677,277,302,167,265,135,110,0.4091580502215657,0.4460856720827179,25,0.03692762186115214
