sweep_id,step,train_loss,val_loss
M0,119.0,1.0485049486160278,
M0,145.0,0.9957489967346191,
M0,237.0,0.9498007297515869,
M0,297.0,1.0286210775375366,
M0,301.0,1.0656744241714478,
M0,307.0,1.0148369073867798,
M0,309.0,0.9691793322563171,
M0,327.0,0.9954563975334167,
M0,369.0,0.97588711977005,
M0,449.0,0.9153565764427185,
M0,499.0,1.0173625946044922,
M0,517.0,0.993177592754364,
M0,531.0,0.9985994100570679,
M0,555.0,0.9522716999053955,
M0,561.0,0.9826441407203674,
M0,583.0,0.9982463121414185,
M0,601.0,1.0111315250396729,
M0,609.0,1.002946138381958,
M0,635.0,0.9368623495101929,
M0,673.0,1.0497162342071533,
M0,705.0,0.9747381210327148,
M0,777.0,0.9573512673377991,
M0,849.0,1.0979152917861938,
M0,859.0,0.9998504519462585,
M0,953.0,0.973406195640564,
M0,1029.0,0.9863632917404175,
M0,1067.0,1.0832935571670532,
M0,1171.0,0.9629086852073669,
M0,1225.0,1.0256619453430176,
M0,1291.0,1.0019898414611816,
M0,1303.0,1.0097686052322388,
M0,1503.0,0.9666112065315247,
M0,1525.0,1.0248206853866577,
M0,1577.0,0.9270137548446655,
M0,1613.0,0.9944483637809753,
M0,1625.0,1.003740906715393,
M0,1843.0,0.9392285346984863,
M0,1895.0,1.0061557292938232,
M0,1923.0,1.0204343795776367,
M0,1929.0,0.8988104462623596,
M0,1981.0,0.9491499662399292,
M0,1993.0,1.0169974565505981,
M0,1995.0,0.9089708924293518,
M0,2041.0,1.0312608480453491,
M0,2099.0,0.9452757835388184,
M0,2133.0,0.8949384689331055,
M0,2149.0,0.630899965763092,
M0,2225.0,0.9087984561920166,
M0,2257.0,0.8173524737358093,
M0,2261.0,0.794418454170227,
M0,2273.0,0.8912185430526733,
M0,2329.0,0.8232325911521912,
M0,2335.0,0.8413001894950867,
M0,2365.0,0.9024372100830078,
M0,2433.0,0.8454774022102356,
M0,2465.0,0.8758829832077026,
M0,2477.0,0.834042489528656,
M0,2505.0,0.9172430634498596,
M0,2537.0,0.8798116445541382,
M0,2543.0,0.822914719581604,
M0,2703.0,0.7877194881439209,
M0,2733.0,0.8052783012390137,
M0,2807.0,0.6979542970657349,
M0,2857.0,0.850830614566803,
M0,2893.0,0.796310305595398,
M0,2895.0,0.7412376403808594,
M0,2897.0,0.8796454668045044,
M0,2941.0,0.9098491668701172,
M0,3003.0,0.8091675043106079,
M0,3015.0,0.7612344026565552,
M0,3063.0,0.8796722292900085,
M0,3153.0,0.757003903388977,
M0,3197.0,0.8348780274391174,
M0,3373.0,0.7966701984405518,
M0,3405.0,0.6626517176628113,
M0,3437.0,0.7951912879943848,
M0,3483.0,0.6400467157363892,
M0,3521.0,0.6773483157157898,
M0,3547.0,0.7860770225524902,
M0,3565.0,0.650445818901062,
M0,3585.0,0.7887550592422485,
M0,3629.0,0.7901191711425781,
M0,3643.0,0.793235182762146,
M0,3661.0,0.5655896067619324,
M0,3665.0,0.7244792580604553,
M0,3667.0,0.669609785079956,
M0,3693.0,0.6885933876037598,
M0,3795.0,0.6277462244033813,
M0,3867.0,0.6509826183319092,
M0,3889.0,0.5944000482559204,
M0,3913.0,0.7642622590065002,
M0,3971.0,0.7145565748214722,
M0,3983.0,0.6219749450683594,
M0,4029.0,0.655619740486145,
M0,4057.0,0.6219800114631653,
M0,4069.0,0.6322839856147766,
M0,4099.0,0.6758614182472229,
M0,4137.0,0.6677855849266052,
M0,4197.0,0.6490184664726257,
M0,4211.0,0.6264383792877197,
M0,4305.0,0.784223198890686,
M0,4329.0,0.5978399515151978,
M0,4343.0,0.6385871767997742,
M0,4369.0,0.755634605884552,
M0,4375.0,0.7043448686599731,
M0,4379.0,0.6559967398643494,
M0,4403.0,0.6725371479988098,
M0,4527.0,0.7381979823112488,
M0,4567.0,0.6442158222198486,
M0,4591.0,0.5841697454452515,
M0,4605.0,0.599229633808136,
M0,4657.0,0.6215068101882935,
M0,4705.0,0.7003381848335266,
M0,4757.0,0.588141143321991,
M0,4839.0,0.6969011425971985,
M0,4845.0,0.6291530728340149,
M0,4857.0,0.6334837079048157,
