species,paradigm,sweep_id,run_id,run_name,state,group,tokenizer,atn_dropout,learning_rate,weight_decay,grad_clip,fold,split_type,subject,recording_id,n_recordings,f1,auroc,precision,recall,balanced_acc
minipigs,single-session,hiyb4224,8t4s4o8d,poyo_eeg_neurosoft_8band_sub-03_ses-06_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-03,sub-03_ses-06_task-AcousStim_acq-LH_desc-raw,1,0.519218921661377,0.8529304265975952,0.539898157119751,0.5330728888511658,0.5330728888511658
minipigs,single-session,hiyb4224,b8qxm1jm,poyo_eeg_neurosoft_8band_sub-03_ses-06_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-03,sub-03_ses-06_task-AcousStim_acq-RH_desc-raw,1,0.0538116581737995,0.5503031611442566,0.0342857129871845,0.125,0.125
minipigs,single-session,hiyb4224,p387yveq,poyo_eeg_neurosoft_8band_sub-03_ses-07_task-AcousStim_acq-LHanest_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-03,sub-03_ses-07_task-AcousStim_acq-LHanest_desc-raw,1,0.1255967020988464,0.6378782987594604,0.1149209514260292,0.1924428045749664,0.1924428045749664
minipigs,single-session,hiyb4224,17jr86u3,poyo_eeg_neurosoft_8band_sub-03_ses-07_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-03,sub-03_ses-07_task-AcousStim_acq-RH_desc-raw,1,0.1237911581993103,0.404222697019577,0.1585648208856582,0.2291666567325592,0.2291666567325592
minipigs,single-session,hiyb4224,r6ez967l,poyo_eeg_neurosoft_8band_sub-03_ses-07_task-AcousStim_acq-RHanest_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-03,sub-03_ses-07_task-AcousStim_acq-RHanest_desc-raw,1,0.0463917516171932,0.6023675799369812,0.0284810122102499,0.125,0.125
minipigs,single-session,hiyb4224,f7edgztz,poyo_eeg_neurosoft_8band_sub-04_ses-01_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-04,sub-04_ses-01_task-AcousStim_acq-LH_desc-raw,1,0.5703194737434387,0.7781960964202881,0.6050560474395752,0.5926741361618042,0.5926741361618042
minipigs,single-session,hiyb4224,86zxc98r,poyo_eeg_neurosoft_8band_sub-04_ses-01_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-04,sub-04_ses-01_task-AcousStim_acq-RH_desc-raw,1,0.7213042378425598,0.8210447430610657,0.7503648996353149,0.719605565071106,0.719605565071106
minipigs,single-session,hiyb4224,m6t2vj4z,poyo_eeg_neurosoft_8band_sub-04_ses-02_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-04,sub-04_ses-02_task-AcousStim_acq-LH_desc-raw,1,0.2996566891670227,0.7713626623153687,0.371360719203949,0.3058363795280456,0.3058363795280456
minipigs,single-session,hiyb4224,7s348r51,poyo_eeg_neurosoft_8band_sub-04_ses-02_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-04,sub-04_ses-02_task-AcousStim_acq-RH_desc-raw,1,0.3376542925834656,0.751042366027832,0.4287510812282562,0.3359375,0.3359375
minipigs,single-session,hiyb4224,f2davby2,poyo_eeg_neurosoft_8band_sub-04_ses-03_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-04,sub-04_ses-03_task-AcousStim_acq-LH_desc-raw,1,0.0588235296308994,0.5062732696533203,0.0370370373129844,0.1428571492433548,0.1428571492433548
minipigs,single-session,hiyb4224,99j0uafl,poyo_eeg_neurosoft_8band_sub-04_ses-03_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-04,sub-04_ses-03_task-AcousStim_acq-RH_desc-raw,1,0.0588235296308994,0.501015841960907,0.0370370373129844,0.1428571492433548,0.1428571492433548
minipigs,single-session,hiyb4224,isjaj4vl,poyo_eeg_neurosoft_8band_sub-04_ses-04_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-04,sub-04_ses-04_task-AcousStim_acq-LH_desc-raw,1,0.7507009506225586,0.8364628553390503,0.7813462018966675,0.7536977529525757,0.7536977529525757
minipigs,single-session,hiyb4224,96lz7may,poyo_eeg_neurosoft_8band_sub-04_ses-04_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-04,sub-04_ses-04_task-AcousStim_acq-RH_desc-raw,1,0.399720162153244,0.7251813411712646,0.5496870279312134,0.4526515305042267,0.4526515305042267
minipigs,single-session,hiyb4224,n0o6nwh2,poyo_eeg_neurosoft_8band_sub-05_ses-01_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-05,sub-05_ses-01_task-AcousStim_acq-LH_desc-raw,1,0.120071679353714,0.4669349789619446,0.1932624131441116,0.2291666716337204,0.2291666716337204
minipigs,single-session,hiyb4224,uve604pj,poyo_eeg_neurosoft_8band_sub-05_ses-01_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-05,sub-05_ses-01_task-AcousStim_acq-RH_desc-raw,1,0.091266818344593,0.4601714015007019,0.1953405141830444,0.1979166716337204,0.1979166716337204
minipigs,single-session,hiyb4224,k3qpnxxq,poyo_eeg_neurosoft_8band_sub-05_ses-02_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-05,sub-05_ses-02_task-AcousStim_acq-LH_desc-raw,1,0.4004911780357361,0.6749556064605713,0.4403451681137085,0.390128493309021,0.390128493309021
minipigs,single-session,hiyb4224,ym188m8g,poyo_eeg_neurosoft_8band_sub-05_ses-02_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-05,sub-05_ses-02_task-AcousStim_acq-RH_desc-raw,1,0.0586400516331195,0.4948899149894714,0.0368916802108287,0.1428571492433548,0.1428571492433548
minipigs,single-session,hiyb4224,kda415c6,poyo_eeg_neurosoft_8band_sub-06_ses-02_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-06,sub-06_ses-02_task-AcousStim_acq-LH_desc-raw,1,0.073873296380043,0.5641487836837769,0.0523667782545089,0.1290391087532043,0.1290391087532043
minipigs,single-session,hiyb4224,gib1ypky,poyo_eeg_neurosoft_8band_sub-06_ses-02_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-06,sub-06_ses-02_task-AcousStim_acq-RH_desc-raw,1,0.0617933645844459,0.5361608266830444,0.0508075132966041,0.1273915767669677,0.1273915767669677
minipigs,single-session,hiyb4224,aih2oeom,poyo_eeg_neurosoft_8band_sub-07_ses-01_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-07,sub-07_ses-01_task-AcousStim_acq-LH_desc-raw,1,0.0563086569309234,0.5262960195541382,0.0350649356842041,0.1428571492433548,0.1428571492433548
minipigs,single-session,hiyb4224,lmwy3s6w,poyo_eeg_neurosoft_8band_sub-07_ses-01_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-07,sub-07_ses-01_task-AcousStim_acq-RH_desc-raw,1,0.7545098066329956,0.3239919543266296,0.7715399265289307,0.7611111402511597,0.7611111402511597
minipigs,single-session,hiyb4224,3yshoomd,poyo_eeg_neurosoft_8band_sub-07_ses-02_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-07,sub-07_ses-02_task-AcousStim_acq-LH_desc-raw,1,0.3289943933486938,0.7094367146492004,0.4186274707317352,0.3878205120563507,0.3878205120563507
minipigs,single-session,hiyb4224,q25bgm7l,poyo_eeg_neurosoft_8band_sub-07_ses-02_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-07,sub-07_ses-02_task-AcousStim_acq-RH_desc-raw,1,0.3332513272762298,0.6968598961830139,0.4641456604003906,0.358477234840393,0.358477234840393
minipigs,single-session,hiyb4224,1f3uvy7w,poyo_eeg_neurosoft_8band_sub-07_ses-03_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-07,sub-07_ses-03_task-AcousStim_acq-LH_desc-raw,1,0.237620323896408,0.541579008102417,0.378052294254303,0.2625588774681091,0.2625588774681091
minipigs,single-session,hiyb4224,4dtc4ce0,poyo_eeg_neurosoft_8band_sub-07_ses-03_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-07,sub-07_ses-03_task-AcousStim_acq-RH_desc-raw,1,0.4939980208873749,0.7486404776573181,0.5415002107620239,0.5626635551452637,0.5626635551452637
minipigs,single-session,hiyb4224,a8thixjc,poyo_eeg_neurosoft_8band_sub-07_ses-04_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-07,sub-07_ses-04_task-AcousStim_acq-LH_desc-raw,1,0.1166666746139526,0.3949108123779297,0.2258297353982925,0.2051282078027725,0.2051282078027725
minipigs,single-session,hiyb4224,0tfxywes,poyo_eeg_neurosoft_8band_sub-07_ses-04_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-07,sub-07_ses-04_task-AcousStim_acq-RH_desc-raw,1,0.3655622005462646,0.5101932883262634,0.3697436153888702,0.3992674052715301,0.3992674052715301
minipigs,single-session,hiyb4224,8jlm62oq,poyo_eeg_neurosoft_8band_sub-07_ses-05_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-07,sub-07_ses-05_task-AcousStim_acq-LH_desc-raw,1,0.1675919592380523,0.5170098543167114,0.2247514426708221,0.2053847908973693,0.2053847908973693
