species,sweep_id,run_id,run_name,state,is_baseline,target_token_rate,weight_decay,smoothing,fold,tokenizer,atn_dropout,learning_rate,split_type,f1,auroc,precision,recall,balanced_acc
monkeys,eh63y1v7,6yve6jwt,poyo_eeg_neurosoft_8band,finished,False,200,0.3,1.0,2,per_channel_resample_cnn_add,0.4,2.5e-05,intrasession-block,0.5243470072746277,0.893233060836792,0.5219501852989197,0.5413340330123901,0.5413340330123901
monkeys,eh63y1v7,49mgn81f,poyo_eeg_neurosoft_8band,finished,False,50,0.3,1.0,2,per_channel_resample_cnn_add,0.4,2.5e-05,intrasession-block,0.52362459897995,0.8884561061859131,0.5209958553314209,0.5422189235687256,0.5422189235687256
minipigs,w74jfier,43nvupdm,poyo_eeg_neurosoft_8band,finished,True,100,0.08,0.5,2,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,0.35739344358444214,0.7701072096824646,0.361738383769989,0.3633454144001007,0.3633454144001007
minipigs,w74jfier,t4pf8pyr,poyo_eeg_neurosoft_8band,finished,True,100,0.08,0.5,0,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,0.36901041865348816,0.786819338798523,0.37486493587493896,0.37906312942504883,0.37906312942504883
minipigs,w74jfier,srby6m1h,poyo_eeg_neurosoft_8band,finished,True,100,0.08,0.75,1,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,0.35483717918395996,0.7727388739585876,0.3549728989601135,0.36266547441482544,0.36266547441482544
minipigs,w74jfier,wj09rzw3,poyo_eeg_neurosoft_8band,finished,True,100,0.08,0.75,0,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,0.3764728307723999,0.7849016189575195,0.378044992685318,0.38287317752838135,0.38287317752838135
minipigs,w74jfier,4st4nl9g,poyo_eeg_neurosoft_8band,finished,True,100,0.08,0.5,1,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,0.35569220781326294,0.7707117795944214,0.35902804136276245,0.3632463216781616,0.3632463216781616
minipigs,w74jfier,qkuu79uh,poyo_eeg_neurosoft_8band,finished,True,100,0.08,1.0,1,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,0.3442043960094452,0.7708864808082581,0.34944385290145874,0.3585973083972931,0.3585973083972931
minipigs,w74jfier,4xee5g6m,poyo_eeg_neurosoft_8band,finished,True,100,0.08,0.75,2,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,0.3585127294063568,0.7685056924819946,0.3606705665588379,0.36472830176353455,0.36472830176353455
minipigs,w74jfier,vxtomyo3,poyo_eeg_neurosoft_8band,finished,True,100,0.08,1.0,0,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,0.3725307881832123,0.7885454893112183,0.373358815908432,0.3873538374900818,0.3873538374900818
minipigs,w74jfier,u3l01kya,poyo_eeg_neurosoft_8band,finished,True,100,0.08,1.0,2,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,0.3474193215370178,0.7691136598587036,0.3636777400970459,0.36003541946411133,0.36003541946411133
monkeys,nxx4a4pn,l8dk1lip,poyo_eeg_neurosoft_8band,finished,True,100,0.08,0.5,1,per_channel_resample_cnn_add,0.4,2.5e-05,intrasession-block,0.48415639996528625,0.8772863149642944,0.48243486881256104,0.4966924786567688,0.4966924786567688
monkeys,nxx4a4pn,px7ssgp0,poyo_eeg_neurosoft_8band,finished,True,100,0.08,0.5,2,per_channel_resample_cnn_add,0.4,2.5e-05,intrasession-block,0.5143339037895203,0.8863279819488525,0.5120177268981934,0.527202308177948,0.527202308177948
monkeys,nxx4a4pn,bxy6sm7l,poyo_eeg_neurosoft_8band,finished,True,100,0.08,0.5,0,per_channel_resample_cnn_add,0.4,2.5e-05,intrasession-block,0.4943070113658905,0.879418134689331,0.49258336424827576,0.5049961805343628,0.5049961805343628
monkeys,nxx4a4pn,nplojx6d,poyo_eeg_neurosoft_8band,finished,True,100,0.08,0.75,0,per_channel_resample_cnn_add,0.4,2.5e-05,intrasession-block,0.4970475733280182,0.8809438943862915,0.497342586517334,0.5102304816246033,0.5102304816246033
monkeys,nxx4a4pn,5r6ho2rd,poyo_eeg_neurosoft_8band,finished,True,100,0.08,0.75,2,per_channel_resample_cnn_add,0.4,2.5e-05,intrasession-block,0.5138640403747559,0.8847359418869019,0.5129421949386597,0.5226558446884155,0.5226558446884155
monkeys,nxx4a4pn,m0h2hnhv,poyo_eeg_neurosoft_8band,finished,True,100,0.08,0.75,1,per_channel_resample_cnn_add,0.4,2.5e-05,intrasession-block,0.4886220395565033,0.8801300525665283,0.48826801776885986,0.5020584464073181,0.5020584464073181
monkeys,nxx4a4pn,vv4a5uv7,poyo_eeg_neurosoft_8band,finished,True,100,0.08,1.0,0,per_channel_resample_cnn_add,0.4,2.5e-05,intrasession-block,0.5041117072105408,0.8847172856330872,0.5019400715827942,0.5190340280532837,0.5190340280532837
monkeys,nxx4a4pn,sm9y8hg1,poyo_eeg_neurosoft_8band,finished,True,100,0.08,1.0,1,per_channel_resample_cnn_add,0.4,2.5e-05,intrasession-block,0.4962175786495209,0.8808666467666626,0.49597325921058655,0.5146066546440125,0.5146066546440125
monkeys,nxx4a4pn,5up66nyf,poyo_eeg_neurosoft_8band,finished,True,100,0.08,1.0,2,per_channel_resample_cnn_add,0.4,2.5e-05,intrasession-block,0.5085128545761108,0.8856910467147827,0.5060023069381714,0.5263253450393677,0.5263253450393677
