species,paradigm,unit,f1_mean,f1_std,f1_n,auroc_mean,auroc_std,auroc_n,precision_mean,precision_std,precision_n,recall_mean,recall_std,recall_n,balanced_acc_mean,balanced_acc_std,balanced_acc_n,is_outlier,outlier_reason
,,,,,,,,,,,,,,,,,,,
minipigs,single-session,sub-01_ses-01_task-AcousStim_acq-LH_desc-raw,0.25701010227203364,0.02294400342243583,3,0.48112290104230243,0.002477119339117752,3,0.3707797626654307,0.022231219934006893,3,0.2696438133716583,0.015414815158728664,3,0.2696438133716583,0.015414815158728664,3,False,
minipigs,single-session,sub-01_ses-02_task-AcousStim_acq-LH_desc-raw,0.16844770312309265,0.002328170744995033,3,0.624292771021525,0.012168805390465245,3,0.22714183727900183,0.03720381112635949,3,0.1859445621569951,0.009232573295922704,3,0.1859445621569951,0.009232573295922704,3,False,
minipigs,single-session,sub-02_ses-01_task-AcousStim_acq-LH_desc-raw,0.4453700582186381,0.04664300747540025,3,0.5952694018681844,0.03209224399482193,3,0.5288775960604349,0.07610888185452776,3,0.45222459236780804,0.04307116202921459,3,0.45222459236780804,0.04307116202921459,3,False,
minipigs,single-session,sub-02_ses-01_task-AcousStim_acq-RH_desc-raw,0.10439610481262203,0.010570894485921687,3,0.43182583649953205,0.011049287180231893,3,0.0959996531407038,0.012581534305200946,3,0.1763157894213994,0.004749206373787933,3,0.1763157894213994,0.004749206373787933,3,False,
minipigs,single-session,sub-02_ses-02_task-AcousStim_acq-LH_desc-raw,0.16691424449284872,0.050496824252533594,3,0.5677541693051656,0.006257978939861593,3,0.17240943511327103,0.06803051569777427,3,0.18424023687839505,0.024265323439791188,3,0.18424023687839505,0.024265323439791188,3,False,
minipigs,single-session,sub-02_ses-02_task-AcousStim_acq-RH_desc-raw,0.08290518820285793,0.015371944369819797,3,0.5277511874834696,0.0228175361186126,3,0.08787468572457624,0.025700537361684317,3,0.13358282546202338,0.0061068475547011725,3,0.13358282546202338,0.0061068475547011725,3,False,
minipigs,single-session,sub-03_ses-01_task-AcousStim_acq-LH_desc-raw,0.5040035347143809,0.014529571505414595,3,0.7119544347127279,0.012825427161497946,3,0.5692440271377563,0.0423620385240028,3,0.5031413634618124,0.020727966142343592,3,0.5031413634618124,0.020727966142343592,3,False,
minipigs,single-session,sub-03_ses-01_task-AcousStim_acq-RH_desc-raw,0.32021757960319513,0.23349310138298124,3,0.6300555467605591,0.09871445181926786,3,0.3567809723317623,0.28258971731590804,3,0.35288965205351513,0.18192835544463043,3,0.35288965205351513,0.18192835544463043,3,False,
minipigs,single-session,sub-03_ses-03_task-AcousStim_acq-LHanest_desc-raw,0.6054322520891825,0.015121259820216485,3,0.9018081227938334,0.003993188660114161,3,0.6180900732676188,0.012531416396568839,3,0.6068549553553263,0.018448300861724207,3,0.6068549553553263,0.018448300861724207,3,False,
minipigs,single-session,sub-03_ses-03_task-AcousStim_acq-RHanest_desc-raw,0.16847045967976246,0.21609787366293656,3,0.6224496563275655,0.1283100556625597,3,0.1732182651758193,0.2541528453826055,3,0.22242521246274313,0.16874541792366365,3,0.22242521246274313,0.16874541792366365,3,False,
minipigs,single-session,sub-03_ses-04_task-AcousStim_acq-LHanest_desc-raw,0.2644022057453791,0.31163655262164824,3,0.5783280730247498,0.19803419935473288,3,0.2550666853785514,0.33485809277773393,3,0.3113971302906672,0.2784269915443625,3,0.3113971302906672,0.2784269915443625,3,False,
minipigs,single-session,sub-03_ses-04_task-AcousStim_acq-RHanest_desc-raw,0.07901391635338463,0.0046990591176425105,3,0.47972426811854046,0.011070056511924489,3,0.07836025456587474,0.022076193337358798,3,0.14479489127794898,0.002048612613728891,3,0.14479489127794898,0.002048612613728891,3,False,
minipigs,single-session,sub-03_ses-06_task-AcousStim_acq-LH_desc-raw,0.5279852151870728,0.022077288497535964,3,0.8656145930290222,0.011538009605302173,3,0.5622238516807556,0.019980827890859334,3,0.5342013637224833,0.01708527324251929,3,0.5342013637224833,0.01708527324251929,3,False,
minipigs,single-session,sub-03_ses-06_task-AcousStim_acq-RH_desc-raw,0.05403372024496394,0.00038462278969077446,3,0.5522425572077433,0.010024364627976099,3,0.03644409775733943,0.0037384320841912207,3,0.125,0.0,3,0.125,0.0,3,False,
minipigs,single-session,sub-03_ses-07_task-AcousStim_acq-LHanest_desc-raw,0.12153855711221694,0.00496074516950147,3,0.6240275303522745,0.02734263857731214,3,0.14115503678719202,0.05049397783611001,3,0.1907970458269119,0.0030028811301007164,3,0.1907970458269119,0.0030028811301007164,3,False,
minipigs,single-session,sub-03_ses-07_task-AcousStim_acq-RH_desc-raw,0.10010852168003716,0.02261135642719058,3,0.40574532747268677,0.013623412618202818,3,0.1367468448976675,0.07061457086773051,3,0.2000805139541626,0.031473937977848185,3,0.2000805139541626,0.031473937977848185,3,False,
minipigs,single-session,sub-03_ses-07_task-AcousStim_acq-RHanest_desc-raw,0.16003761316339174,0.1961461549938933,3,0.6575548052787781,0.10618040847421853,3,0.17408099956810474,0.2516610484596859,3,0.20938462018966675,0.14615844954590523,3,0.20938462018966675,0.14615844954590523,3,False,
minipigs,single-session,sub-04_ses-01_task-AcousStim_acq-LH_desc-raw,0.5044463475545248,0.17747643646754435,3,0.7545183102289835,0.07028214466714712,3,0.5893444120883942,0.11928805456258387,3,0.5307163298130035,0.1706807777889967,3,0.5307163298130035,0.1706807777889967,3,False,
minipigs,single-session,sub-04_ses-01_task-AcousStim_acq-RH_desc-raw,0.7126339077949524,0.01390668642777748,3,0.8220284978548685,0.0018775254168306537,3,0.7526035308837891,0.002722216784336793,3,0.7128201921780905,0.021183282826224874,3,0.7128201921780905,0.021183282826224874,3,False,
