species,paradigm,n_units,n_folds,f1_mean,f1_std,auroc_mean,auroc_std,precision_mean,precision_std,recall_mean,recall_std,balanced_acc_mean,balanced_acc_std
minipigs,single-session (all),41,3,0.2865643702689709,0.20605070929318722,0.6061229739731889,0.13688649154408694,0.3280229339815252,0.22259886199071618,0.329235867756169,0.183302597213116,0.329235867756169,0.183302597213116
minipigs,single-session (excl. outliers),41,3,0.2865643702689709,0.20605070929318722,0.6061229739731889,0.13688649154408694,0.3280229339815252,0.22259886199071618,0.329235867756169,0.183302597213116,0.329235867756169,0.183302597213116
minipigs,single-subject,7,3,0.32031030846493586,0.11235213418810983,0.7054005123320081,0.09075761360119988,0.3752458631282761,0.11539973547897178,0.327351967493693,0.10330091271348568,0.327351967493693,0.10330091271348568
minipigs,multi-subject,1,3,0.3596874475479126,0.00280600148068007,0.7756315469741821,0.004841643196221763,0.37916210293769836,0.002477490856063931,0.3594587743282318,0.004132643853352204,0.3594587743282318,0.004132643853352204
monkeys,single-session (all),27,2,0.4176515553337641,0.2829794702424292,0.48277172962060333,0.2723047772417865,0.4656767040873185,0.28548457170106945,0.4601298257326468,0.2555741875595358,0.4601298257326468,0.2555741875595358
monkeys,single-session (excl. outliers),25,3,0.3943576175471146,0.26300699577010805,0.5020825988054275,0.25965406985360107,0.44430377225081125,0.2699715553702448,0.43853501876195267,0.2362332831544815,0.43853501876195267,0.2362332831544815
monkeys,single-subject,6,3,0.3709747526380751,0.1364185959184171,0.5877895139985615,0.2214815155050374,0.44652577489614487,0.13962702875202296,0.4105230280094676,0.11888876531018176,0.4105230280094676,0.11888876531018176
monkeys,multi-subject,1,3,0.4993434250354767,0.010152607020021517,0.8806000550587972,0.0022649820814635603,0.4977542559305827,0.009588543311075396,0.5095456639925638,0.010452313853008568,0.5095456639925638,0.010452313853008568
