species,sweep_id,run_id,run_name,state,tokenizer,atn_dropout,learning_rate,weight_decay,grad_clip,fold,split_type,batch_size,f1,auroc,precision,recall,balanced_acc
minipigs,9cr4zl3u,s1xnc280,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,2.5e-05,0.08,0.5,0,intrasession-block,128,0.3706337511539459,0.7804060578346252,0.3813166618347168,0.3681720495223999,0.3681720495223999
minipigs,9cr4zl3u,5rk2c0n2,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,3e-05,0.08,0.5,0,intrasession-block,128,0.37055832147598267,0.7856965065002441,0.3837764859199524,0.3678111433982849,0.3678111433982849
minipigs,9cr4zl3u,vflbedlm,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,2.75e-05,0.08,0.5,0,intrasession-block,128,0.3704831004142761,0.7821981906890869,0.38420942425727844,0.3668924570083618,0.3668924570083618
minipigs,9cr4zl3u,nicxo4cs,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_dim512,0.4,2.5e-05,0.1,0.5,0,intrasession-block,128,0.3703288733959198,0.7777962684631348,0.3774901330471039,0.3686862885951996,0.3686862885951996
minipigs,9cr4zl3u,nqtthk7r,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.2,2.5e-05,0.08,0.5,0,intrasession-block,128,0.3702777028083801,0.7772684693336487,0.379067599773407,0.36880695819854736,0.36880695819854736
minipigs,9cr4zl3u,y6vmp0jn,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,2.75e-05,0.1,0.5,0,intrasession-block,128,0.37003055214881897,0.7819728851318359,0.386103093624115,0.36655861139297485,0.36655861139297485
minipigs,9cr4zl3u,2kdwbx1b,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.4,2.75e-05,0.08,0.5,0,intrasession-block,128,0.3697381019592285,0.7794641256332397,0.3796902894973755,0.36868420243263245,0.36868420243263245
minipigs,9cr4zl3u,2uptmqyn,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.4,2.75e-05,0.1,0.5,0,intrasession-block,128,0.3695160448551178,0.7793422341346741,0.37956488132476807,0.3671841621398926,0.3671841621398926
minipigs,9cr4zl3u,og4z01g2,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,2.5e-05,0.1,0.5,0,intrasession-block,128,0.3695000112056732,0.7803826332092285,0.38139960169792175,0.36699408292770386,0.36699408292770386
minipigs,9cr4zl3u,na7uhlla,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.4,2.5e-05,0.1,0.5,0,intrasession-block,128,0.36896640062332153,0.7782846093177795,0.37748610973358154,0.3690671920776367,0.3690671920776367
minipigs,9cr4zl3u,f1qzaef9,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_dim512,0.4,2.75e-05,0.08,0.5,0,intrasession-block,128,0.3685937523841858,0.779147207736969,0.38232332468032837,0.3664407432079315,0.3664407432079315
minipigs,9cr4zl3u,rx1tytij,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,2.5e-05,0.1,0.5,0,intrasession-block,128,0.3677383363246918,0.7766196131706238,0.3794363737106323,0.3658517599105835,0.3658517599105835
minipigs,9cr4zl3u,lkgl0nai,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,2.5e-05,0.08,0.5,0,intrasession-block,128,0.36711186170578,0.7766806483268738,0.38111448287963867,0.36494362354278564,0.36494362354278564
minipigs,9cr4zl3u,ci4la5f5,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.4,2.5e-05,0.08,0.5,0,intrasession-block,128,0.3669430613517761,0.7778099775314331,0.3786420226097107,0.36658307909965515,0.36658307909965515
minipigs,9cr4zl3u,q1jn2ppc,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_dim512,0.4,2.5e-05,0.08,0.5,0,intrasession-block,128,0.3663628101348877,0.7778153419494629,0.37637171149253845,0.36729109287261963,0.36729109287261963
minipigs,9cr4zl3u,8sbnz97a,poyo_eeg_neurosoft_8band,finished,per_channel_cwt_cnn,0.2,2.5e-05,0.1,0.5,0,intrasession-block,128,0.3148433268070221,0.7335610389709473,0.32873713970184326,0.31325533986091614,0.31325533986091614
minipigs,9cr4zl3u,5gwbwh3v,poyo_eeg_neurosoft_8band,finished,per_channel_cwt_cnn,0.2,3e-05,0.08,0.5,0,intrasession-block,128,0.31461024284362793,0.7275553941726685,0.32282042503356934,0.3124997913837433,0.3124997913837433
minipigs,9cr4zl3u,w2r9vx3h,poyo_eeg_neurosoft_8band,finished,per_channel_cwt_cnn,0.4,3e-05,0.08,0.5,0,intrasession-block,128,0.31181180477142334,0.7268629670143127,0.3201938271522522,0.31020069122314453,0.31020069122314453
minipigs,9cr4zl3u,9f5zt2b4,poyo_eeg_neurosoft_8band,finished,per_channel_cwt_cnn,0.2,2.75e-05,0.1,0.5,0,intrasession-block,128,0.3098224401473999,0.731255292892456,0.3259166479110718,0.30816808342933655,0.30816808342933655
minipigs,9cr4zl3u,2ueizx28,poyo_eeg_neurosoft_8band,finished,per_channel_cwt_cnn,0.4,2.75e-05,0.1,0.5,0,intrasession-block,128,0.30981510877609253,0.7249596118927002,0.3273285925388336,0.30647578835487366,0.30647578835487366
minipigs,9cr4zl3u,pq4ikd7t,poyo_eeg_neurosoft_8band,finished,per_channel_cwt_cnn,0.4,3e-05,0.1,0.5,0,intrasession-block,128,0.3069705069065094,0.7280324101448059,0.3202763497829437,0.305283784866333,0.305283784866333
minipigs,9cr4zl3u,t6m0f9gf,poyo_eeg_neurosoft_8band,finished,per_channel_cwt_cnn,0.4,2.75e-05,0.08,0.5,0,intrasession-block,128,0.3060142993927002,0.7250221967697144,0.3258904218673706,0.3043627142906189,0.3043627142906189
minipigs,9cr4zl3u,tpxb38hq,poyo_eeg_neurosoft_8band,finished,per_channel_cwt_cnn,0.4,2.5e-05,0.1,0.5,0,intrasession-block,128,0.2987016439437866,0.7240995764732361,0.3196139931678772,0.29701554775238037,0.29701554775238037
minipigs,9cr4zl3u,n6dqpmrw,poyo_eeg_neurosoft_8band,finished,per_channel_cwt_cnn,0.4,2.5e-05,0.08,0.5,0,intrasession-block,128,0.29782426357269287,0.7231818437576294,0.3197447955608368,0.2967143654823303,0.2967143654823303
minipigs,9cr4zl3u,h1blb1a2,poyo_eeg_neurosoft_8band,finished,per_channel_cwt_cnn,0.2,3e-05,0.1,0.5,0,intrasession-block,128,0.29122745990753174,0.7233535647392273,0.3299185633659363,0.2915864586830139,0.2915864586830139
minipigs,9cr4zl3u,d92wr896,poyo_eeg_neurosoft_8band,finished,per_channel_cwt_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,128,0.28369438648223877,0.7161813378334045,0.3242953419685364,0.28125494718551636,0.28125494718551636
minipigs,9cr4zl3u,saz29cfh,poyo_eeg_neurosoft_8band,finished,per_channel_cwt_cnn,0.2,2.5e-05,0.08,0.5,0,intrasession-block,128,0.2736663222312927,0.7106561660766602,0.319415420293808,0.27505719661712646,0.27505719661712646
monkeys,meu5wgw5,vrye18ce,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,2.5e-05,0.08,1.0,0,intrasession-block,128,0.5171999335289001,0.8844493627548218,0.5203877687454224,0.5175853967666626,0.5175853967666626
monkeys,meu5wgw5,quq6x3po,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,2.5e-05,0.3,1.0,0,intrasession-block,128,0.5163772106170654,0.8850489258766174,0.5220950841903687,0.5184715986251831,0.5184715986251831
monkeys,meu5wgw5,bequ84io,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,2.5e-05,0.3,0.5,0,intrasession-block,128,0.5137478113174438,0.8822669982910156,0.5172991156578064,0.5170068740844727,0.5170068740844727
monkeys,meu5wgw5,2nh8hmzc,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,2.5e-05,0.08,0.5,0,intrasession-block,128,0.5128742456436157,0.8841418623924255,0.5194504857063293,0.5152690410614014,0.5152690410614014
monkeys,meu5wgw5,3lwd82bd,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,2.75e-05,0.3,0.5,0,intrasession-block,128,0.5124883651733398,0.8839857578277588,0.521059513092041,0.5115618705749512,0.5115618705749512
monkeys,meu5wgw5,wlezigr1,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,2.5e-05,0.1,0.5,0,intrasession-block,128,0.5101485252380371,0.8830645084381104,0.5139533877372742,0.5141913890838623,0.5141913890838623
monkeys,meu5wgw5,4s8rcyng,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,2.75e-05,0.3,1.0,0,intrasession-block,128,0.5086446404457092,0.8822693824768066,0.5149095058441162,0.5102856159210205,0.5102856159210205
monkeys,meu5wgw5,k6r0svyw,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,2.5e-05,0.1,1.0,0,intrasession-block,128,0.507469117641449,0.883513331413269,0.5139902830123901,0.511539876461029,0.511539876461029
monkeys,meu5wgw5,z2yye1mg,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,3e-05,0.1,1.0,0,intrasession-block,128,0.507392168045044,0.8818169236183167,0.507391631603241,0.5127981901168823,0.5127981901168823
monkeys,meu5wgw5,3oxfpc7x,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,2.75e-05,0.1,1.0,0,intrasession-block,128,0.5065549612045288,0.8811436891555786,0.5135643482208252,0.5124654769897461,0.5124654769897461
monkeys,meu5wgw5,6ciefocd,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,2.75e-05,0.1,0.5,0,intrasession-block,128,0.5060282945632935,0.8820288777351379,0.5138779878616333,0.5100961327552795,0.5100961327552795
monkeys,meu5wgw5,u2wwp368,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,2.75e-05,0.08,1.0,0,intrasession-block,128,0.5041976571083069,0.880998432636261,0.5074170827865601,0.5097864866256714,0.5097864866256714
monkeys,meu5wgw5,5q6moohe,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,2.75e-05,0.08,0.5,0,intrasession-block,128,0.5031392574310303,0.8803956508636475,0.510402262210846,0.504342794418335,0.504342794418335
monkeys,meu5wgw5,7opoaitp,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,3e-05,0.3,1.0,0,intrasession-block,128,0.5030730962753296,0.8818804025650024,0.5129360556602478,0.5060673356056213,0.5060673356056213
monkeys,meu5wgw5,tky6ab9n,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,3e-05,0.3,0.5,0,intrasession-block,128,0.5014171004295349,0.8798182606697083,0.5077683329582214,0.5076810121536255,0.5076810121536255
monkeys,meu5wgw5,d8xgf5ee,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,3e-05,0.08,0.5,0,intrasession-block,128,0.5013595223426819,0.876907467842102,0.5041588544845581,0.5033154487609863,0.5033154487609863
monkeys,meu5wgw5,j83u1l7t,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,2.5e-05,0.3,0.5,0,intrasession-block,128,0.5008885860443115,0.878747820854187,0.505563497543335,0.5081148743629456,0.5081148743629456
monkeys,meu5wgw5,07iqurnm,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,2.5e-05,0.3,1.0,0,intrasession-block,128,0.5007103085517883,0.8829575777053833,0.5090029835700989,0.5046963691711426,0.5046963691711426
monkeys,meu5wgw5,6wamvka0,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,2.5e-05,0.1,1.0,0,intrasession-block,128,0.4990159869194031,0.8817014694213867,0.5066377520561218,0.5062779188156128,0.5062779188156128
monkeys,meu5wgw5,3hy7548h,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,3e-05,0.08,1.0,0,intrasession-block,128,0.49868687987327576,0.8783763647079468,0.5076629519462585,0.5015743970870972,0.5015743970870972
monkeys,meu5wgw5,w6jffkfn,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,2.5e-05,0.08,1.0,0,intrasession-block,128,0.49762773513793945,0.883708119392395,0.5103843212127686,0.4996347427368164,0.4996347427368164
monkeys,meu5wgw5,30at1md6,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,2.75e-05,0.1,1.0,0,intrasession-block,128,0.4967328608036041,0.8782398700714111,0.500525951385498,0.5014991760253906,0.5014991760253906
monkeys,meu5wgw5,lltpyg5c,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.4,3e-05,0.1,0.5,0,intrasession-block,128,0.49623459577560425,0.8773844838142395,0.49669957160949707,0.5017359852790833,0.5017359852790833
monkeys,meu5wgw5,seascgmq,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,3e-05,0.3,0.5,0,intrasession-block,128,0.4954185783863067,0.878650426864624,0.4993078410625458,0.49884033203125,0.49884033203125
monkeys,meu5wgw5,tla2d2rm,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,2.75e-05,0.3,1.0,0,intrasession-block,128,0.4952884912490845,0.8785595893859863,0.4983060657978058,0.4979511499404907,0.4979511499404907
monkeys,meu5wgw5,se7hyz1h,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,2.75e-05,0.3,0.5,0,intrasession-block,128,0.4948944449424744,0.8804559707641602,0.4965783357620239,0.5018000602722168,0.5018000602722168
monkeys,meu5wgw5,hwpygil5,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,2.5e-05,0.1,0.5,0,intrasession-block,128,0.4940016269683838,0.8788776397705078,0.4945758879184723,0.5012325644493103,0.5012325644493103
monkeys,meu5wgw5,a1n73nyn,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.2,2.5e-05,0.3,0.5,0,intrasession-block,128,0.4937288165092468,0.875483512878418,0.491260826587677,0.505126953125,0.505126953125
monkeys,meu5wgw5,9uqnxhh1,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.4,2.5e-05,0.3,1.0,0,intrasession-block,128,0.49355629086494446,0.8764363527297974,0.4963653087615967,0.4998469948768616,0.4998469948768616
monkeys,meu5wgw5,jsrknzo7,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,2.5e-05,0.08,0.5,0,intrasession-block,128,0.49305880069732666,0.8778705596923828,0.5006648898124695,0.4978591203689575,0.4978591203689575
monkeys,meu5wgw5,csh49cfo,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,3e-05,0.08,1.0,0,intrasession-block,128,0.492379754781723,0.8757244348526001,0.500557005405426,0.49962177872657776,0.49962177872657776
monkeys,meu5wgw5,s577reph,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,3e-05,0.3,1.0,0,intrasession-block,128,0.49230146408081055,0.8755572438240051,0.4931664764881134,0.4987643361091614,0.4987643361091614
monkeys,meu5wgw5,tn0dcuwf,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.4,2.75e-05,0.3,0.5,0,intrasession-block,128,0.49223074316978455,0.8788216710090637,0.49385932087898254,0.4971965551376343,0.4971965551376343
monkeys,meu5wgw5,dj0845xk,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,2.75e-05,0.08,1.0,0,intrasession-block,128,0.49130022525787354,0.8770711421966553,0.4956376552581787,0.5007615685462952,0.5007615685462952
monkeys,meu5wgw5,656fmcco,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,3e-05,0.1,0.5,0,intrasession-block,128,0.49112921953201294,0.8740208745002747,0.4934324324131012,0.49703431129455566,0.49703431129455566
monkeys,meu5wgw5,fiqn5lrr,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.2,2.5e-05,0.08,0.5,0,intrasession-block,128,0.4910096526145935,0.8736956119537354,0.4895370602607727,0.49698659777641296,0.49698659777641296
monkeys,meu5wgw5,zj1lfb9y,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.4,2.5e-05,0.1,0.5,0,intrasession-block,128,0.490781307220459,0.8745232820510864,0.48961883783340454,0.4958494305610657,0.4958494305610657
monkeys,meu5wgw5,55oxbwl9,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.4,2.5e-05,0.08,0.5,0,intrasession-block,128,0.4906536638736725,0.8738284111022949,0.48972564935684204,0.49365660548210144,0.49365660548210144
monkeys,meu5wgw5,nmp4awxp,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.4,2.5e-05,0.3,0.5,0,intrasession-block,128,0.4905626177787781,0.8773776292800903,0.4923095107078552,0.4993021488189697,0.4993021488189697
monkeys,meu5wgw5,2azhb3l2,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,3e-05,0.08,0.5,0,intrasession-block,128,0.4900931119918823,0.8763787150382996,0.4936232566833496,0.49603214859962463,0.49603214859962463
monkeys,meu5wgw5,2298w8v3,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.2,2.75e-05,0.3,0.5,0,intrasession-block,128,0.4900619387626648,0.8757430911064148,0.48989224433898926,0.5022000670433044,0.5022000670433044
monkeys,meu5wgw5,xl5cugls,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,3e-05,0.1,1.0,0,intrasession-block,128,0.4895678162574768,0.8748335838317871,0.49872225522994995,0.4940143823623657,0.4940143823623657
monkeys,meu5wgw5,oegbvv0e,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.4,2.75e-05,0.3,1.0,0,intrasession-block,128,0.48955947160720825,0.8764041066169739,0.4937460422515869,0.4937271475791931,0.4937271475791931
monkeys,meu5wgw5,egjmz7kb,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,2.75e-05,0.08,0.5,0,intrasession-block,128,0.489004909992218,0.8754037618637085,0.4902232587337494,0.49420100450515747,0.49420100450515747
monkeys,meu5wgw5,3blb86ao,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,2.75e-05,0.1,0.5,0,intrasession-block,128,0.48834726214408875,0.876098096370697,0.48979929089546204,0.4971802830696106,0.4971802830696106
monkeys,meu5wgw5,0eh1imax,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.2,2.5e-05,0.1,0.5,0,intrasession-block,128,0.48808324337005615,0.8749207258224487,0.48804110288619995,0.49811771512031555,0.49811771512031555
monkeys,meu5wgw5,62dja1rk,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.2,2.5e-05,0.3,1.0,0,intrasession-block,128,0.4880237579345703,0.8739656209945679,0.49112337827682495,0.491179496049881,0.491179496049881
monkeys,meu5wgw5,rkfg50ko,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.2,3e-05,0.3,1.0,0,intrasession-block,128,0.4880003333091736,0.8773722648620605,0.4981687366962433,0.49209198355674744,0.49209198355674744
monkeys,meu5wgw5,60lhtph2,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.4,3e-05,0.3,0.5,0,intrasession-block,128,0.48707765340805054,0.8792232275009155,0.4882010221481323,0.4933769106864929,0.4933769106864929
monkeys,meu5wgw5,8ug9owq4,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.2,3e-05,0.3,0.5,0,intrasession-block,128,0.4867538809776306,0.8777092695236206,0.4900469183921814,0.4984898865222931,0.4984898865222931
monkeys,meu5wgw5,toajma9y,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.4,2.75e-05,0.08,0.5,0,intrasession-block,128,0.48651939630508423,0.877448320388794,0.48643428087234497,0.49570441246032715,0.49570441246032715
monkeys,meu5wgw5,sc7s9x0j,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.4,3e-05,0.08,0.5,0,intrasession-block,128,0.4861717224121094,0.8803811073303223,0.49051493406295776,0.4912843704223633,0.4912843704223633
monkeys,meu5wgw5,bkfyvee4,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.4,2.5e-05,0.08,1.0,0,intrasession-block,128,0.4861336350440979,0.8726062774658203,0.4872313439846039,0.48942479491233826,0.48942479491233826
monkeys,meu5wgw5,gdhhd309,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.2,2.75e-05,0.1,0.5,0,intrasession-block,128,0.4861219823360443,0.8745361566543579,0.4905237555503845,0.48665499687194824,0.48665499687194824
monkeys,meu5wgw5,lxageztf,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.2,3e-05,0.08,0.5,0,intrasession-block,128,0.4859845042228699,0.8773201107978821,0.4891791343688965,0.4942755103111267,0.4942755103111267
monkeys,meu5wgw5,il4fxxwi,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.2,2.75e-05,0.1,1.0,0,intrasession-block,128,0.48557808995246887,0.8755160570144653,0.48801589012145996,0.4902840256690979,0.4902840256690979
monkeys,meu5wgw5,s667oed4,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.2,3e-05,0.1,1.0,0,intrasession-block,128,0.4853107929229736,0.877489447593689,0.4920562505722046,0.49389129877090454,0.49389129877090454
monkeys,meu5wgw5,y24yqgix,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.2,3e-05,0.1,0.5,0,intrasession-block,128,0.48515939712524414,0.8770709037780762,0.4873955249786377,0.49029386043548584,0.49029386043548584
monkeys,meu5wgw5,8kj430vx,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.4,2.5e-05,0.1,1.0,0,intrasession-block,128,0.4850040674209595,0.8739776611328125,0.48597389459609985,0.4916924238204956,0.4916924238204956
