species,sweep_id,run_id,run_name,state,embed_dim,depth,self_heads,cross_heads,channel_emb_fraction,tokenizer,weight_decay,learning_rate,atn_dropout,grad_clip,fold,split_type,batch_size,f1,auroc,precision,recall,balanced_acc
minipigs,ov9f1g0n,jxsbs5oz,poyo_eeg_neurosoft_8band,finished,64,2,8,6,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3733687698841095,0.783545732498169,0.39166420698165894,0.373626172542572,0.373626172542572
minipigs,ov9f1g0n,l5ssl6w5,poyo_eeg_neurosoft_8band,finished,128,2,8,8,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.37331587076187134,0.7856591939926147,0.38488447666168213,0.3731374740600586,0.3731374740600586
minipigs,ov9f1g0n,503pq4jk,poyo_eeg_neurosoft_8band,finished,256,4,8,6,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.37313738465309143,0.776207447052002,0.3761359453201294,0.3735008239746094,0.3735008239746094
minipigs,ov9f1g0n,pgqh1noj,poyo_eeg_neurosoft_8band,finished,256,4,8,6,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3723132610321045,0.7846702933311462,0.398337721824646,0.3726874589920044,0.3726874589920044
minipigs,ov9f1g0n,lt8ojts9,poyo_eeg_neurosoft_8band,finished,128,4,8,6,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3716873824596405,0.7745873928070068,0.38070106506347656,0.3689884543418884,0.3689884543418884
minipigs,ov9f1g0n,u7t20hxa,poyo_eeg_neurosoft_8band,finished,128,2,6,8,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3711652457714081,0.7757167816162109,0.39217764139175415,0.3682466745376587,0.3682466745376587
minipigs,ov9f1g0n,lyodfb3k,poyo_eeg_neurosoft_8band,finished,128,2,6,8,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3710523247718811,0.7894622087478638,0.3883892893791199,0.3706820607185364,0.3706820607185364
minipigs,ov9f1g0n,jvpgppua,poyo_eeg_neurosoft_8band,finished,128,4,8,6,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3708425760269165,0.7821135520935059,0.3880755305290222,0.3716053068637848,0.3716053068637848
minipigs,ov9f1g0n,692zf4ws,poyo_eeg_neurosoft_8band,finished,256,4,6,8,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3708237409591675,0.777890145778656,0.38250619173049927,0.36739692091941833,0.36739692091941833
minipigs,ov9f1g0n,h7ed2tr7,poyo_eeg_neurosoft_8band,finished,32,2,6,6,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.37058284878730774,0.7821636199951172,0.38278764486312866,0.36742809414863586,0.36742809414863586
minipigs,ov9f1g0n,recsx2bh,poyo_eeg_neurosoft_8band,finished,128,2,8,6,1/2,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.37025824189186096,0.7885928153991699,0.3795902729034424,0.36794063448905945,0.36794063448905945
minipigs,ov9f1g0n,ve82frb3,poyo_eeg_neurosoft_8band,finished,32,2,8,8,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.370029479265213,0.7841500639915466,0.38491880893707275,0.37462446093559265,0.37462446093559265
minipigs,ov9f1g0n,wdzxas9z,poyo_eeg_neurosoft_8band,finished,128,4,8,6,1/2,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36993616819381714,0.7827943563461304,0.38725197315216064,0.3694194555282593,0.3694194555282593
minipigs,ov9f1g0n,xj4gw8bi,poyo_eeg_neurosoft_8band,finished,64,2,6,8,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.369868129491806,0.7808617949485779,0.38675278425216675,0.37109482288360596,0.37109482288360596
minipigs,ov9f1g0n,t11uuz4c,poyo_eeg_neurosoft_8band,finished,128,2,8,6,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36899590492248535,0.7881299257278442,0.3796986937522888,0.366235613822937,0.366235613822937
minipigs,ov9f1g0n,brj97i94,poyo_eeg_neurosoft_8band,finished,128,2,6,6,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36894628405570984,0.7748669385910034,0.3760218322277069,0.36735695600509644,0.36735695600509644
minipigs,ov9f1g0n,n45dg4hx,poyo_eeg_neurosoft_8band,finished,128,2,6,6,1/3,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36882323026657104,0.7751110196113586,0.3726692795753479,0.3687230348587036,0.3687230348587036
minipigs,ov9f1g0n,h71246p0,poyo_eeg_neurosoft_8band,finished,128,4,6,6,1/3,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3685834407806397,0.7679142951965332,0.37447482347488403,0.3691008388996124,0.3691008388996124
minipigs,ov9f1g0n,i4kznkwr,poyo_eeg_neurosoft_8band,finished,128,4,8,6,1/3,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36839884519577026,0.7748150825500488,0.37895211577415466,0.36766546964645386,0.36766546964645386
minipigs,ov9f1g0n,kq0ezq0m,poyo_eeg_neurosoft_8band,finished,256,4,6,6,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3683568835258484,0.7840235233306885,0.381884902715683,0.367355614900589,0.367355614900589
minipigs,ov9f1g0n,72tbk9i5,poyo_eeg_neurosoft_8band,finished,128,2,8,6,1/3,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.368032306432724,0.7768741846084595,0.38825005292892456,0.36614954471588135,0.36614954471588135
minipigs,ov9f1g0n,bryt6knv,poyo_eeg_neurosoft_8band,finished,128,2,8,6,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36781045794487,0.7773267030715942,0.3847488760948181,0.36622244119644165,0.36622244119644165
minipigs,ov9f1g0n,4128398a,poyo_eeg_neurosoft_8band,finished,128,2,6,8,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3678065836429596,0.7874941825866699,0.37786805629730225,0.3688013553619385,0.3688013553619385
minipigs,ov9f1g0n,zo36w8ec,poyo_eeg_neurosoft_8band,finished,128,4,8,8,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3674871325492859,0.7839927673339844,0.3749723434448242,0.3666853606700897,0.3666853606700897
minipigs,ov9f1g0n,49gvza3w,poyo_eeg_neurosoft_8band,finished,64,4,6,8,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36743009090423584,0.7790907621383667,0.3774476647377014,0.3704978823661804,0.3704978823661804
minipigs,ov9f1g0n,0ovabalo,poyo_eeg_neurosoft_8band,finished,64,2,8,8,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3673553764820099,0.7810718417167664,0.38141220808029175,0.3677399158477783,0.3677399158477783
minipigs,ov9f1g0n,8jnu5zz5,poyo_eeg_neurosoft_8band,finished,128,2,8,8,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3672390580177307,0.7768183946609497,0.3785516023635864,0.36436301469802856,0.36436301469802856
minipigs,ov9f1g0n,azupox9x,poyo_eeg_neurosoft_8band,finished,64,4,6,6,1/2,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3672094941139221,0.7779205441474915,0.38067638874053955,0.371153861284256,0.371153861284256
minipigs,ov9f1g0n,qyai96o9,poyo_eeg_neurosoft_8band,finished,32,4,6,8,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3670855164527893,0.7810155153274536,0.3714101016521454,0.3732471466064453,0.3732471466064453
minipigs,ov9f1g0n,hellkwog,poyo_eeg_neurosoft_8band,finished,32,2,6,6,1/4,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3666332364082336,0.7827062606811523,0.38434529304504395,0.36582517623901367,0.36582517623901367
minipigs,ov9f1g0n,3345zb17,poyo_eeg_neurosoft_8band,finished,64,2,6,6,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3658270239830017,0.7784440517425537,0.376659631729126,0.3669864237308502,0.3669864237308502
minipigs,ov9f1g0n,mry6d8ym,poyo_eeg_neurosoft_8band,finished,128,4,6,8,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36579951643943787,0.7762385010719299,0.3739342987537384,0.3686850666999817,0.3686850666999817
minipigs,ov9f1g0n,bd9e7qkw,poyo_eeg_neurosoft_8band,finished,64,2,6,6,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36567872762680054,0.7757986187934875,0.3833938241004944,0.3645918369293213,0.3645918369293213
minipigs,ov9f1g0n,iyrolri3,poyo_eeg_neurosoft_8band,finished,64,4,6,6,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.365650475025177,0.7770706415176392,0.38202017545700073,0.3697088956832886,0.3697088956832886
