species,sweep_id,run_id,run_name,state,gamma,alpha_smoothing,label_smoothing,weight_decay,cw_smoothing,embed_dim,depth,self_heads,cross_heads,channel_emb_fraction,tokenizer,fold,learning_rate,atn_dropout,f1,auroc,precision,recall,balanced_acc
monkeys,weslebt0,0w6yvsg0,poyo_eeg_neurosoft_8band,finished,1.0,1.0,0.1,0.09,1.0,64,4,6,8,,per_channel_resample_cnn_add,0,2.5e-05,0.4,0.5141693353652954,0.881420373916626,0.5118663311004639,0.5252574682235718,0.5252574682235718
monkeys,weslebt0,fti6d3qm,poyo_eeg_neurosoft_8band,finished,2.0,1.0,0.1,0.09,1.0,64,4,6,8,,per_channel_resample_cnn_add,0,2.5e-05,0.4,0.5137107968330383,0.8840428590774536,0.5106692314147949,0.5239536762237549,0.5239536762237549
monkeys,weslebt0,hp368qsg,poyo_eeg_neurosoft_8band,finished,1.0,0.75,0.1,0.09,1.0,64,4,6,8,,per_channel_resample_cnn_add,0,2.5e-05,0.4,0.5133073925971985,0.8835170269012451,0.5119214057922363,0.526934027671814,0.526934027671814
monkeys,weslebt0,99bm5hjv,poyo_eeg_neurosoft_8band,finished,0.5,1.0,0.2,0.09,1.0,64,4,6,8,,per_channel_resample_cnn_add,0,2.5e-05,0.4,0.5125688314437866,0.8787899017333984,0.5124029517173767,0.5251047611236572,0.5251047611236572
monkeys,weslebt0,asrg1wbg,poyo_eeg_neurosoft_8band,finished,1.5,1.0,0.1,0.09,1.0,64,4,6,8,,per_channel_resample_cnn_add,0,2.5e-05,0.4,0.510751485824585,0.8842614889144897,0.509558916091919,0.5220928192138672,0.5220928192138672
monkeys,weslebt0,b31v4osf,poyo_eeg_neurosoft_8band,finished,2.0,1.0,0.2,0.09,1.0,64,4,6,8,,per_channel_resample_cnn_add,0,2.5e-05,0.4,0.5104255080223083,0.8792263269424438,0.5081875324249268,0.5237940549850464,0.5237940549850464
monkeys,weslebt0,he9ok7c2,poyo_eeg_neurosoft_8band,finished,1.0,1.0,0.2,0.09,1.0,64,4,6,8,,per_channel_resample_cnn_add,0,2.5e-05,0.4,0.5102096199989319,0.8808391094207764,0.5084538459777832,0.5214998722076416,0.5214998722076416
monkeys,weslebt0,24vd2u63,poyo_eeg_neurosoft_8band,finished,2.0,0.75,0.1,0.09,1.0,64,4,6,8,,per_channel_resample_cnn_add,0,2.5e-05,0.4,0.5100431442260742,0.8835682272911072,0.5088878870010376,0.523209810256958,0.523209810256958
monkeys,weslebt0,sylbknuo,poyo_eeg_neurosoft_8band,finished,1.0,0.75,0.2,0.09,1.0,64,4,6,8,,per_channel_resample_cnn_add,0,2.5e-05,0.4,0.5088300108909607,0.8792432546615601,0.5075711011886597,0.5202711224555969,0.5202711224555969
monkeys,weslebt0,irj6n0tu,poyo_eeg_neurosoft_8band,finished,1.5,1.0,0.2,0.09,1.0,64,4,6,8,,per_channel_resample_cnn_add,0,2.5e-05,0.4,0.5077863931655884,0.8803212642669678,0.5063767433166504,0.5196470618247986,0.5196470618247986
monkeys,weslebt0,gm1xk1p4,poyo_eeg_neurosoft_8band,finished,0.5,0.75,0.2,0.09,1.0,64,4,6,8,,per_channel_resample_cnn_add,0,2.5e-05,0.4,0.507644772529602,0.8782309293746948,0.5063024759292603,0.5184707641601562,0.5184707641601562
monkeys,weslebt0,syyaheyk,poyo_eeg_neurosoft_8band,finished,2.0,0.75,0.2,0.09,1.0,64,4,6,8,,per_channel_resample_cnn_add,0,2.5e-05,0.4,0.5063096284866333,0.8794333934783936,0.5057889223098755,0.5178595781326294,0.5178595781326294
monkeys,weslebt0,2h5e4wy5,poyo_eeg_neurosoft_8band,finished,0.5,1.0,0.1,0.09,1.0,64,4,6,8,,per_channel_resample_cnn_add,0,2.5e-05,0.4,0.5062519907951355,0.8813633322715759,0.5064119100570679,0.521324634552002,0.521324634552002
monkeys,weslebt0,2j747n6t,poyo_eeg_neurosoft_8band,finished,1.5,0.75,0.2,0.09,1.0,64,4,6,8,,per_channel_resample_cnn_add,0,2.5e-05,0.4,0.5057297945022583,0.8794877529144287,0.5041481256484985,0.5191240906715393,0.5191240906715393
