species,sweep_id,run_id,run_name,state,gamma,alpha_smoothing,label_smoothing,weight_decay,learning_rate,atn_dropout,tokenizer,fold,split_type,grad_clip,f1,auroc,precision,recall,balanced_acc
minipigs,jotbhxmv,50qvyujo,poyo_eeg_neurosoft_8band,finished,1.5,1.0,0.2,0.08,2.75e-05,0.2,per_channel_resample_cnn,0,intrasession-block,0.5,0.3673315644264221,0.7866453528404236,0.37253308296203613,0.3799549639225006,0.3799549639225006
minipigs,jotbhxmv,v55azfw5,poyo_eeg_neurosoft_8band,finished,1.0,1.0,0.2,0.1,2.75e-05,0.2,per_channel_resample_cnn,0,intrasession-block,0.5,0.3655460476875305,0.7886286973953247,0.3704010248184204,0.3843580484390259,0.3843580484390259
minipigs,jotbhxmv,38tco6qe,poyo_eeg_neurosoft_8band,finished,2.0,1.0,0.2,0.08,2.75e-05,0.2,per_channel_resample_cnn,0,intrasession-block,0.5,0.3654249906539917,0.7891755104064941,0.36724719405174255,0.37999531626701355,0.37999531626701355
minipigs,jotbhxmv,erol1rwn,poyo_eeg_neurosoft_8band,finished,2.0,1.0,0.2,0.1,2.75e-05,0.2,per_channel_resample_cnn,0,intrasession-block,0.5,0.365387499332428,0.7890005111694336,0.3674694299697876,0.38042140007019043,0.38042140007019043
minipigs,jotbhxmv,64enyg66,poyo_eeg_neurosoft_8band,finished,2.0,1.0,0.1,0.1,2.75e-05,0.2,per_channel_resample_cnn,0,intrasession-block,0.5,0.3641386032104492,0.7857433557510376,0.3641919791698456,0.3736477494239807,0.3736477494239807
minipigs,jotbhxmv,ef4oovcs,poyo_eeg_neurosoft_8band,finished,0.5,1.0,0.2,0.1,2.75e-05,0.2,per_channel_resample_cnn,0,intrasession-block,0.5,0.36396700143814087,0.7858166694641113,0.36917710304260254,0.38104796409606934,0.38104796409606934
minipigs,jotbhxmv,t8y6u2j1,poyo_eeg_neurosoft_8band,finished,1.5,1.0,0.1,0.1,2.75e-05,0.2,per_channel_resample_cnn,0,intrasession-block,0.5,0.3620728254318238,0.7866218686103821,0.3628653883934021,0.373391330242157,0.373391330242157
minipigs,jotbhxmv,wy53ycfo,poyo_eeg_neurosoft_8band,finished,2.0,1.0,0.1,0.08,2.75e-05,0.2,per_channel_resample_cnn,0,intrasession-block,0.5,0.3615926206111908,0.7853250503540039,0.3624674081802368,0.3720863461494446,0.3720863461494446
minipigs,jotbhxmv,p04b6ef5,poyo_eeg_neurosoft_8band,finished,0.5,1.0,0.1,0.1,2.75e-05,0.2,per_channel_resample_cnn,0,intrasession-block,0.5,0.360686719417572,0.784258246421814,0.36586615443229675,0.37714967131614685,0.37714967131614685
minipigs,jotbhxmv,xa4v3t36,poyo_eeg_neurosoft_8band,finished,1.5,1.0,0.1,0.08,2.75e-05,0.2,per_channel_resample_cnn,0,intrasession-block,0.5,0.35998600721359253,0.7863643169403076,0.36067038774490356,0.37079736590385437,0.37079736590385437
minipigs,jotbhxmv,d0cl5uu3,poyo_eeg_neurosoft_8band,finished,0.5,1.0,0.1,0.08,2.75e-05,0.2,per_channel_resample_cnn,0,intrasession-block,0.5,0.3589804470539093,0.7843207716941833,0.36837857961654663,0.3780098855495453,0.3780098855495453
minipigs,jotbhxmv,mbza8tnf,poyo_eeg_neurosoft_8band,finished,1.0,1.0,0.1,0.1,2.75e-05,0.2,per_channel_resample_cnn,0,intrasession-block,0.5,0.3576897382736206,0.7864172458648682,0.36452364921569824,0.37498384714126587,0.37498384714126587
minipigs,jotbhxmv,aojt8bi1,poyo_eeg_neurosoft_8band,finished,1.0,1.0,0.1,0.08,2.75e-05,0.2,per_channel_resample_cnn,0,intrasession-block,0.5,0.3575400114059448,0.7867444753646851,0.3635125756263733,0.3742278218269348,0.3742278218269348
