species,condition,base_lr,n_cells,mean_test_supported_f1,mean_best_val_supported_f1,mean_stable_step
minipigs,scratch_adapter_warmup,0.0003,40,0.46057795397937296,0.6161229163408279,2560.25
minipigs,scratch_adapter_warmup,0.0015,40,0.47962541729211805,0.62498384937644,1864.625
minipigs,scratch_adapter_warmup,0.003,40,0.4653705071657896,0.6147340126335621,1728.975
minipigs,scratch_uniform,0.0003,40,0.4726455591619015,0.6113818801939488,2502.125
minipigs,scratch_uniform,0.0015,40,0.4665488086640835,0.6298735596239566,1819.075
minipigs,scratch_uniform,0.003,40,0.4688701409846544,0.6322031386196614,1936.425
minipigs,transfer_adapter_warmup_uniform,0.0003,6,0.423884816467762,0.6331252654393514,2418.3333333333335
minipigs,transfer_adapter_warmup_uniform,0.0015,15,0.4790817856788635,0.604916528860728,2223.4
minipigs,transfer_adapter_warmup_uniform,0.003,12,0.46268150707085925,0.6017750389873981,1407.4166666666667
minipigs,transfer_uniform,0.0003,31,0.4558986088921947,0.5837409909694425,2595.7741935483873
minipigs,transfer_uniform,0.0015,30,0.4737548177440961,0.6182645574212075,1700.3333333333333
minipigs,transfer_uniform,0.003,28,0.47639382630586624,0.6152940083827291,2033.0
monkeys,scratch_adapter_warmup,0.0003,13,0.4269639288003628,0.6614736226888803,3694.4615384615386
monkeys,scratch_adapter_warmup,0.0015,13,0.45060323293392474,0.6764112160756037,2180.230769230769
monkeys,scratch_adapter_warmup,0.003,13,0.41490887334713566,0.6623483391908499,2361.076923076923
monkeys,scratch_uniform,0.0003,13,0.38038788735866547,0.6548587244290572,3459.846153846154
monkeys,scratch_uniform,0.0015,13,0.429661574272009,0.6607855374996479,2297.153846153846
monkeys,scratch_uniform,0.003,13,0.4296047721917813,0.6599682569503784,2216.153846153846
monkeys,transfer_adapter_warmup_uniform,0.0003,5,0.4487362027168274,0.6360453128814697,3334.4
monkeys,transfer_adapter_warmup_uniform,0.0015,6,0.40196969111760456,0.608475923538208,2046.0
monkeys,transfer_adapter_warmup_uniform,0.003,4,0.4009779766201973,0.5818310230970383,3731.75
monkeys,transfer_uniform,0.0003,8,0.4196907263249159,0.6146336905658245,3055.0
monkeys,transfer_uniform,0.0015,10,0.43341279625892637,0.640170156955719,2795.2
monkeys,transfer_uniform,0.003,12,0.4188016826907794,0.6637452443440756,2292.9166666666665
