condition,species,subject,recording,base_lr,adapter_warmup_steps,source,cell_id,run_id,run_name,state,test_supported_f1,best_val_supported_f1,analysis_eligible,analysis_error,stable_step,censored
transfer_discriminative,monkeys,sub-01,sub-01_ses-015_task-AcousStim_acq-RH_desc-raw,0.0003,0,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-015_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_discriminative__lr0p0003__f1__t42,abc703cf,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-015_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_discriminative__lr0p0003__f1__t42,finished,0.3358612656593323,0.6227619051933289,True,,3255.0,False
transfer_adapter_warmup_uniform,monkeys,sub-01,sub-01_ses-015_task-AcousStim_acq-RH_desc-raw,0.0003,500,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-015_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p0003__f1__t42,47928ee0,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-015_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p0003__f1__t42,finished,0.4419729709625244,0.6677553057670593,True,,3211.0,False
transfer_discriminative,monkeys,sub-01,sub-01_ses-015_task-AcousStim_acq-RH_desc-raw,0.0015,0,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-015_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_discriminative__lr0p0015__f1__t42,8de0f792,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-015_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_discriminative__lr0p0015__f1__t42,finished,0.46852928400039673,0.7071636915206909,True,,3651.0,False
transfer_adapter_warmup_uniform,monkeys,sub-01,sub-01_ses-015_task-AcousStim_acq-RH_desc-raw,0.0015,500,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-015_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p0015__f1__t42,3d289d37,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-015_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p0015__f1__t42,finished,0.4479967653751374,0.6851121783256531,True,,2419.0,False
transfer_adapter_warmup_discriminative,monkeys,sub-01,sub-01_ses-015_task-AcousStim_acq-RH_desc-raw,0.0003,500,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-015_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_discriminative__lr0p0003__f1__t42,008b4f41,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-015_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_discriminative__lr0p0003__f1__t42,finished,0.3757148683071137,0.603603184223175,True,,4795.0,False
transfer_adapter_warmup_uniform,monkeys,sub-01,sub-01_ses-015_task-AcousStim_acq-RH_desc-raw,0.003,500,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-015_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p003__f1__t42,26ad976d,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-015_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p003__f1__t42,finished,0.41182202100753784,0.6525304317474365,True,,1627.0,False
transfer_adapter_warmup_discriminative,monkeys,sub-01,sub-01_ses-015_task-AcousStim_acq-RH_desc-raw,0.003,500,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-015_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_discriminative__lr0p003__f1__t42,1d8d4520,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-015_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_discriminative__lr0p003__f1__t42,finished,0.44996166229248047,0.6815102696418762,True,,4443.0,False
transfer_adapter_warmup_discriminative,monkeys,sub-01,sub-01_ses-015_task-AcousStim_acq-RH_desc-raw,0.0015,500,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-015_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_discriminative__lr0p0015__f1__t42,bb5bcdaf,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-015_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_discriminative__lr0p0015__f1__t42,finished,0.4563140273094177,0.628369927406311,True,,2419.0,False
transfer_uniform,monkeys,sub-01,sub-01_ses-02_task-AcousStim_acq-RH_desc-raw,0.0003,0,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_uniform__lr0p0003__f1__t42,c7d8da66,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_uniform__lr0p0003__f1__t42,finished,0.36460769176483154,0.7994189858436584,True,,2519.0,False
transfer_uniform,monkeys,sub-01,sub-01_ses-02_task-AcousStim_acq-RH_desc-raw,0.0015,0,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_uniform__lr0p0015__f1__t42,75f00c56,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_uniform__lr0p0015__f1__t42,finished,0.4968724548816681,0.7928580045700073,True,,584.0,False
transfer_discriminative,monkeys,sub-01,sub-01_ses-02_task-AcousStim_acq-RH_desc-raw,0.0015,0,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_discriminative__lr0p0015__f1__t42,ee00d7ed,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_discriminative__lr0p0015__f1__t42,finished,0.400440514087677,0.7585960626602173,True,,764.0,False
transfer_uniform,monkeys,sub-01,sub-01_ses-02_task-AcousStim_acq-RH_desc-raw,0.003,0,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_uniform__lr0p003__f1__t42,297115af,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_uniform__lr0p003__f1__t42,finished,0.3895841836929322,0.7442072629928589,True,,539.0,False
transfer_discriminative,monkeys,sub-01,sub-01_ses-02_task-AcousStim_acq-RH_desc-raw,0.003,0,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_discriminative__lr0p003__f1__t42,8c5aa7e7,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_discriminative__lr0p003__f1__t42,finished,0.3937806785106659,0.7578654289245605,True,,629.0,False
transfer_discriminative,monkeys,sub-01,sub-01_ses-02_task-AcousStim_acq-RH_desc-raw,0.0003,0,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_discriminative__lr0p0003__f1__t42,228dcdae,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_discriminative__lr0p0003__f1__t42,finished,0.4248834252357483,0.7208942174911499,True,,1484.0,False
transfer_adapter_warmup_uniform,monkeys,sub-01,sub-01_ses-02_task-AcousStim_acq-RH_desc-raw,0.0015,500,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p0015__f1__t42,b8a13b95,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p0015__f1__t42,finished,0.32504957914352417,0.7331771850585938,True,,719.0,False
transfer_adapter_warmup_discriminative,monkeys,sub-01,sub-01_ses-02_task-AcousStim_acq-RH_desc-raw,0.0003,500,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_discriminative__lr0p0003__f1__t42,1b9d28a9,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_discriminative__lr0p0003__f1__t42,finished,0.4000307321548462,0.7294776439666748,True,,1619.0,False
transfer_adapter_warmup_uniform,monkeys,sub-01,sub-01_ses-02_task-AcousStim_acq-RH_desc-raw,0.0003,500,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p0003__f1__t42,0ddef701,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p0003__f1__t42,finished,0.34858572483062744,0.7265210151672363,True,,989.0,False
transfer_adapter_warmup_uniform,monkeys,sub-01,sub-01_ses-02_task-AcousStim_acq-RH_desc-raw,0.003,500,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p003__f1__t42,340f0574,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p003__f1__t42,finished,0.4343218207359314,0.7702306509017944,True,,1664.0,False
transfer_adapter_warmup_discriminative,monkeys,sub-01,sub-01_ses-02_task-AcousStim_acq-RH_desc-raw,0.003,500,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_discriminative__lr0p003__f1__t42,b28295bb,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_discriminative__lr0p003__f1__t42,finished,0.4326038956642151,0.7284001111984253,True,,719.0,False
